Name;Size;"First name";"Last name";Downloads;Date;Path
02_Exercise.zip;8418611;David;Schlipf;1;"26.09.2022 08:16";02_Exercise.zip
"CD_2022WS_02_Exercise_Baseline Generator Torque Controller.pdf";501844;David;Schlipf;1;"26.09.2022 08:09";"CD_2022WS_02_Exercise_Baseline Generator Torque Controller.pdf"
